"Survived","Pclass","Sex","SibSp","Parch","Fare","AgeGroup"
"0","3","male",1,0,7.25,"Adult"
"1","1","female",1,0,71.2833,"Adult"
"1","3","female",0,0,7.925,"Adult"
"1","1","female",1,0,53.1,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","1","male",0,0,51.8625,"Adult"
"0","3","male",3,1,21.075,"Child"
"1","3","female",0,2,11.1333,"Adult"
"1","2","female",1,0,30.0708,"Teen"
"1","3","female",1,1,16.7,"Child"
"1","1","female",0,0,26.55,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",1,5,31.275,"Adult"
"0","3","female",0,0,7.8542,"Teen"
"1","2","female",0,0,16,"Adult"
"0","3","male",4,1,29.125,"Child"
"0","3","female",1,0,18,"Adult"
"0","2","male",0,0,26,"Adult"
"1","2","male",0,0,13,"Adult"
"1","3","female",0,0,8.0292,"Teen"
"1","1","male",0,0,35.5,"Adult"
"0","3","female",3,1,21.075,"Child"
"1","3","female",1,5,31.3875,"Adult"
"0","1","male",3,2,263,"Adult"
"0","1","male",0,0,27.7208,"Adult"
"0","2","male",0,0,10.5,"Senior"
"0","1","male",1,0,82.1708,"Adult"
"0","1","male",1,0,52,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","female",2,0,18,"Teen"
"1","3","female",1,0,11.2417,"Teen"
"0","3","female",1,0,9.475,"Adult"
"0","2","female",1,0,21,"Adult"
"1","2","female",1,2,41.5792,"Child"
"1","3","female",0,0,7.8792,"Adult"
"0","3","female",1,0,17.8,"Teen"
"0","3","male",4,1,39.6875,"Child"
"0","3","male",0,0,7.8,"Adult"
"1","1","female",1,0,76.7292,"Adult"
"1","2","female",1,0,26,"Adult"
"0","1","male",0,1,61.9792,"Senior"
"1","2","female",0,0,10.5,"Adult"
"0","3","male",0,0,7.2292,"Adult"
"1","2","female",1,2,27.75,"Child"
"0","3","male",5,2,46.9,"Child"
"0","3","male",0,0,7.2292,"Adult"
"1","1","female",0,0,80,"Adult"
"0","1","male",1,0,83.475,"Adult"
"0","3","male",3,2,27.9,"Child"
"1","2","female",0,0,10.5,"Adult"
"0","3","male",0,0,8.1583,"Adult"
"1","3","female",4,2,7.925,"Teen"
"0","3","male",2,0,8.6625,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","female",5,2,46.9,"Teen"
"0","2","male",0,0,73.5,"Adult"
"0","3","male",1,0,14.4542,"Adult"
"1","3","male",0,0,56.4958,"Adult"
"0","3","male",0,0,7.65,"Adult"
"1","2","male",0,2,29,"Child"
"1","3","female",0,0,12.475,"Adult"
"0","3","male",0,0,9,"Adult"
"1","3","male",0,0,9.5,"Adult"
"0","1","male",0,0,47.1,"Adult"
"1","2","female",0,0,10.5,"Teen"
"1","3","female",3,0,15.85,"Adult"
"0","3","male",1,3,34.375,"Teen"
"1","1","female",3,2,263,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,0,7.8542,"Adult"
"0","1","male",1,0,61.175,"Adult"
"0","3","male",1,2,20.575,"Adult"
"0","3","male",0,0,7.25,"Adult"
"0","1","male",0,0,34.6542,"Senior"
"1","1","male",0,1,63.3583,"Adult"
"1","2","female",0,1,23,"Adult"
"0","2","male",1,0,26,"Adult"
"0","3","female",0,0,7.8958,"Adult"
"0","1","male",0,1,77.2875,"Adult"
"0","3","male",0,0,8.6542,"Adult"
"0","3","male",2,0,7.925,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","3","female",0,0,7.65,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","1","male",0,0,52,"Adult"
